unicode,gb2312,Chinese,stroke number,id
0x90A6,0xB0EE,邦,5,77
0x5E2E,0xB0EF,帮,9,78
0x6886,0xB0F0,梆,10,79
0x699C,0xB0F1,榜,14,80
0x8180,0xB0F2,膀,14,81
0x7ED1,0xB0F3,绑,9,82
0x68D2,0xB0F4,棒,12,83
0x78C5,0xB0F5,磅,15,84
0x868C,0xB0F6,蚌,10,85
0x9551,0xB0F7,镑,15,86
0x508D,0xB0F8,傍,12,87
0x8C24,0xB0F9,谤,12,88
0x82DE,0xB0FA,苞,8,89
0x80DE,0xB0FB,胞,9,90
0x5305,0xB0FC,包,5,91
0x8912,0xB0FD,褒,15,92
0x5265,0xB0FE,剥,10,93
0x8584,0xB1A1,薄,16,94
0x96F9,0xB1A2,雹,13,95
0x4FDD,0xB1A3,保,9,96
0x5821,0xB1A4,堡,12,97
0x9971,0xB1A5,饱,8,98
0x5B9D,0xB1A6,宝,8,99
0x62B1,0xB1A7,抱,8,100
0x62A5,0xB1A8,报,7,101
0x66B4,0xB1A9,暴,15,102
0x8C79,0xB1AA,豹,10,103
0x9C8D,0xB1AB,鲍,13,104
0x7206,0xB1AC,爆,19,105
0x676F,0xB1AD,杯,8,106
0x7891,0xB1AE,碑,13,107
0x60B2,0xB1AF,悲,12,108
0x5351,0xB1B0,卑,8,109
0x5317,0xB1B1,北,5,110
0x8F88,0xB1B2,辈,12,111
0x80CC,0xB1B3,背,9,112
0x8D1D,0xB1B4,贝,4,113
0x94A1,0xB1B5,钡,9,114
0x500D,0xB1B6,倍,10,115
0x72C8,0xB1B7,狈,7,116
0x5907,0xB1B8,备,8,117
0x60EB,0xB1B9,惫,12,118
0x7119,0xB1BA,焙,12,119
0x88AB,0xB1BB,被,10,120
0x5954,0xB1BC,奔,8,121
0x82EF,0xB1BD,苯,8,122
0x672C,0xB1BE,本,5,123
0x7B28,0xB1BF,笨,11,124
0x5D29,0xB1C0,崩,11,125
0x7EF7,0xB1C1,绷,11,126
0x752D,0xB1C2,甭,9,127
0x6CF5,0xB1C3,泵,9,128
0x8E66,0xB1C4,蹦,18,129
0x8FF8,0xB1C5,迸,9,130
0x903C,0xB1C6,逼,12,131
0x9F3B,0xB1C7,鼻,14,132
0x6BD4,0xB1C8,比,4,133
0x9119,0xB1C9,鄙,13,134
0x7B14,0xB1CA,笔,10,135
0x5F7C,0xB1CB,彼,8,136
0x78A7,0xB1CC,碧,14,137
0x84D6,0xB1CD,蓖,13,138
